transcript_name,eps_name,confidence,transcript_filepath,eps_value
Comerica,COMERICA INC MI,100.0,transcripts_by_company/Comerica_2006Q3.txt,1.2
ViroPharma,VIROPHARMA INC,100.0,transcripts_by_company/Viropharma_2005Q1.txt,-4.59
Key Energy Services,KEY ENERGY SERVICES INC,100.0,transcripts_by_company/Duke_Energy_Corporation_CurrentQ4.txt,-2.16
Roadway Corporation,ROADWAY CORP,100.0,transcripts_by_company/Roadway_Corporation_2002Q2.txt,-0.09
Bob Evans Farms,BOB EVANS FARMS INC,100.0,transcripts_by_company/Bob_Evans_Farms_2007Q3.txt,1.84
"Tower Automotive, Inc.",TOWER AUTOMOTIVE INC,100.0,transcripts_by_company/Tower_Automotive_Inc_2002Q1.txt,0.25
Citigroup,CITI TRENDS INC,100.0,transcripts_by_company/Citigroup_2006Q4.txt,0.08
First Data Corp.,FIRST DATA CORP,100.0,transcripts_by_company/Datascope_2005Q2.txt,0.701
MetLife Inc.,METLIFE INC,100.0,transcripts_by_company/MetLife_Inc_2007Q3.txt,0.54
Donaldson Company,DONALDSON COMPANY INC,100.0,transcripts_by_company/Donaldson_Company_2007Q1.txt,0.47
First Republic Bank,BANK FIRST CORP,100.0,transcripts_by_company/First_Republic_Bank_2023Q2.txt,
AmSouth,AMSOUTH BANCORP,100.0,transcripts_by_company/AmSouth_2002Q2.txt,0.4
Boston Communications Group,BOSTON COMMUNICATIONS GROUP INC,100.0,transcripts_by_company/Boston_Communications_Group_2006Q1.txt,0.03
Borg Warner Corporation,BORG WARNER CP,100.0,transcripts_by_company/Meredith_Corporation_2007Q2.txt,0.28
WESCO International,WESCO INTERNATIONAL INC,100.0,transcripts_by_company/Kimball_International_2007Q2.txt,
Sola International,SOLA INTERNATIONAL INC,100.0,transcripts_by_company/SOLA_International_2004Q3.txt,1.3
"Metro, Inc.",METRO AIRLS INC,100.0,transcripts_by_company/Metro_Inc_2007Q1.txt,0.0
IDEC Pharmaceuticals,IDEC PHARMACEUTICALS CORP,100.0,transcripts_by_company/Idec_Pharmaceuticals_2002Q3.txt,0.17
"Office Depot, Inc.",OFFICE DEPOT INC,100.0,transcripts_by_company/Office_Depot_Inc_2007Q1.txt,0.32
BSQUARE Corporation,BSQUARE CORP,100.0,transcripts_by_company/BSQUARE_Corporation_2004Q1.txt,-0.14
Pulitzer Inc,PULITZER INC.,100.0,transcripts_by_company/Pulitzer_Inc_2002Q2.txt,0.34
"Right Management Consultants, Inc.",RIGHT MANAGEMENT CONSULTANTS,100.0,transcripts_by_company/Right_Management_Consultants_Inc_2003Q3.txt,0.57
"Cornerstone Realty Income Trust, Inc.",CORNERSTONE REALTY INCOME TRUST,100.0,transcripts_by_company/Cornerstone_Realty_Income_Trust_Inc_2003Q3.txt,
Visteon Corp.,VISTEON AUTOMOTIVE,100.0,transcripts_by_company/Visteon_Corp_2006Q3.txt,0.01
ChipPAC,CHIPPAC,100.0,transcripts_by_company/ChipPAC_2004Q1.txt,-0.15
RadioShack Corporation,RADIOSHACK CORPORATION,100.0,transcripts_by_company/RadioShack_Corporation_2007Q1.txt,0.31
Value City,VALUE CITY DEPT STORES INC,100.0,transcripts_by_company/Value_City_2002Q1.txt,-0.85
Polaris Industries,POLARIS INC,100.0,transcripts_by_company/Polaris_Industries_2007Q1.txt,0.48
Motorola Inc.,MOTOROLA INC,100.0,transcripts_by_company/Motorola_Inc_2007Q1.txt,-0.08
Right Management Consultants,RIGHT MANAGEMENT CONSULTANTS,100.0,transcripts_by_company/Right_Management_Consultants_2003Q1.txt,0.57
Silicon Laboratories,SILICON LABORATORIES INC,100.0,transcripts_by_company/Silicon_Laboratories_2006Q4.txt,0.03
DURECT Corporation,DURECT CORP,100.0,transcripts_by_company/DURECT_Corporation_2007Q2.txt,-0.2
Peoples Holding Company,PEOPLES HOLDING COMPANY,100.0,transcripts_by_company/Peoples_Holding_Company_2004Q2.txt,0.72
"The Wet Seal, Inc.",WET SEAL INC,100.0,transcripts_by_company/The_Wet_Seal_Inc_2007Q1.txt,0.12
Mississippi Valley,MISSISSIPPI VALLEY BANCSHARES,100.0,transcripts_by_company/Mississippi_Valley_2002Q2.txt,0.8
JDS Uniphase,JDS UNIPHASE CORP,100.0,transcripts_by_company/JDS_Uniphase_2006Q3.txt,-0.03
"Everest Re Group, Ltd.",EVEREST GROUP LTD,100.0,transcripts_by_company/Everest_Re_Group_Ltd_2007Q3.txt,1.34
ISSI,EISAI LTD,66.66666666666666,transcripts_by_company/ISSI_2004Q3.txt,1.0
Dana Corporation,DANA CORP,100.0,transcripts_by_company/Dana_Corporation_2004Q4.txt,0.18
Vector Group,VECTOR AUTOMATIO,100.0,transcripts_by_company/Principal_Financial_Group_2007Q3.txt,
AsiaInfo Holdings,ASIAINFO HOLDINGS INC,100.0,transcripts_by_company/AsiaInfo_Holdings_2007Q1.txt,0.03
