Cusip,Company_Name,Ticker,anndats,transcript_date,actual_eps,forecast_eps
30294110,FTI CONSULTING INC,FCN,2010-02-26,2010-02-26,0.71,2.71
30294110,FTI CONSULTING INC,FCN,2010-05-05,2010-05-05,0.67,0.63
30294110,FTI CONSULTING INC,FCN,2010-08-05,2010-08-05,0.52,0.75
30294110,FTI CONSULTING INC,FCN,2010-11-05,2010-11-05,0.54,0.61
30294110,FTI CONSULTING INC,FCN,2011-02-24,2011-02-24,0.56,2.28
30294110,FTI CONSULTING INC,FCN,2011-05-04,2011-05-04,0.48,0.49
30294110,FTI CONSULTING INC,FCN,2011-08-04,2011-08-04,0.64,0.57
30294110,FTI CONSULTING INC,FCN,2011-11-02,2011-11-02,0.7,0.6
30294110,FTI CONSULTING INC,FCN,2012-05-09,2012-05-09,0.43,0.62
30294110,FTI CONSULTING INC,FCN,2012-11-08,2012-11-08,0.6,0.6
30294110,FTI CONSULTING INC,FCN,2013-02-28,2013-02-28,0.67,2.22
30294110,FTI CONSULTING INC,FCN,2013-05-09,2013-05-09,0.59,0.5
30294110,FTI CONSULTING INC,FCN,2013-08-08,2013-08-08,0.58,0.6
30294110,FTI CONSULTING INC,FCN,2013-11-07,2013-11-07,0.72,0.48
30294110,FTI CONSULTING INC,FCN,2014-02-20,2014-02-20,0.49,2.3
30294110,FTI CONSULTING INC,FCN,2014-05-01,2014-05-01,0.41,0.25
30294110,FTI CONSULTING INC,FCN,2014-07-31,2014-07-31,0.55,0.52
30294110,FTI CONSULTING INC,FCN,2014-10-30,2014-10-30,0.63,0.4
30294110,FTI CONSULTING INC,FCN,2015-02-19,2015-02-19,0.04,1.95
30294110,FTI CONSULTING INC,FCN,2015-04-30,2015-04-30,0.57,0.34
30294110,FTI CONSULTING INC,FCN,2015-07-30,2015-07-30,0.5,0.49
30294110,FTI CONSULTING INC,FCN,2015-10-29,2015-10-29,0.53,0.53
30294110,FTI CONSULTING INC,FCN,2016-02-25,2016-02-25,0.24,1.88
30294110,FTI CONSULTING INC,FCN,2016-04-28,2016-04-28,0.83,0.42
30294110,FTI CONSULTING INC,FCN,2016-07-28,2016-07-28,0.66,0.6
30294110,FTI CONSULTING INC,FCN,2016-10-27,2016-10-27,0.52,0.51
30294110,FTI CONSULTING INC,FCN,2017-02-28,2017-02-28,0.24,2.28
30294110,FTI CONSULTING INC,FCN,2017-04-27,2017-04-27,0.34,0.66
30294110,FTI CONSULTING INC,FCN,2017-07-27,2017-07-27,0.4,0.51
30294110,FTI CONSULTING INC,FCN,2017-10-26,2017-10-26,0.83,0.58
30294110,FTI CONSULTING INC,FCN,2018-02-22,2018-02-22,0.78,2.08
30294110,FTI CONSULTING INC,FCN,2018-04-26,2018-04-26,1.04,0.62
30294110,FTI CONSULTING INC,FCN,2018-07-26,2018-07-26,1.14,0.63
30294110,FTI CONSULTING INC,FCN,2018-10-25,2018-10-25,1.0,0.59
30294110,FTI CONSULTING INC,FCN,2019-02-26,2019-02-26,0.83,3.75
30294110,FTI CONSULTING INC,FCN,2019-04-25,2019-04-25,1.63,0.99
30294110,FTI CONSULTING INC,FCN,2019-07-25,2019-07-25,1.73,1.0
30294110,FTI CONSULTING INC,FCN,2019-10-24,2019-10-24,1.63,0.98
30294110,FTI CONSULTING INC,FCN,2020-02-25,2020-02-25,0.81,5.9
30294110,FTI CONSULTING INC,FCN,2020-04-30,2020-04-30,1.53,1.63
30294110,FTI CONSULTING INC,FCN,2020-07-30,2020-07-30,1.32,1.04
30294110,FTI CONSULTING INC,FCN,2020-10-29,2020-10-29,1.54,1.35
30294110,FTI CONSULTING INC,FCN,2021-02-25,2021-02-25,1.61,5.5
30294110,FTI CONSULTING INC,FCN,2021-04-29,2021-04-29,1.89,1.25
30294110,FTI CONSULTING INC,FCN,2021-07-29,2021-07-29,1.74,1.52
30294110,FTI CONSULTING INC,FCN,2021-10-28,2021-10-28,2.02,1.49
30294110,FTI CONSULTING INC,FCN,2022-02-24,2022-02-24,1.13,6.69
30294110,FTI CONSULTING INC,FCN,2022-04-28,2022-04-28,1.66,1.44
30294110,FTI CONSULTING INC,FCN,2022-07-28,2022-07-28,1.43,1.67
30294110,FTI CONSULTING INC,FCN,2022-10-27,2022-10-27,2.15,2.04
30294110,FTI CONSULTING INC,FCN,2023-02-23,2023-02-23,1.52,6.59
30294110,FTI CONSULTING INC,FCN,2023-04-27,2023-04-27,1.34,1.69
30294110,FTI CONSULTING INC,FCN,2023-07-27,2023-07-27,1.75,1.65
30294110,FTI CONSULTING INC,FCN,2023-10-26,2023-10-26,2.34,1.92
30303M10,META PLATFORMS INC,FB,2012-07-26,2012-07-26,0.12,0.13
30303M10,META PLATFORMS INC,FB,2012-10-23,2012-10-23,0.12,0.11
30303M10,META PLATFORMS INC,FB,2013-01-30,2013-01-30,0.17,0.51
30303M10,META PLATFORMS INC,FB,2013-05-01,2013-05-01,0.12,0.13
30303M10,META PLATFORMS INC,FB,2013-07-24,2013-07-24,0.19,0.14
30303M10,META PLATFORMS INC,FB,2013-10-30,2013-10-30,0.25,0.18
30303M10,META PLATFORMS INC,FB,2014-01-29,2014-01-29,0.31,0.83
30303M10,META PLATFORMS INC,FB,2014-04-23,2014-04-23,0.34,0.23
30303M10,META PLATFORMS INC,FB,2014-07-23,2014-07-23,0.42,0.31
