CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
03760410,2011.0,4.0,1.28,1.11,03760410,APOLLO EDUCATION GROUP INC,"Apollo Group, Inc.",high,transcripts_by_company/Apollo_Group_Inc_2011Q4.txt,2011-11-17,2012-01-05,1.28,2012-01-05,high
53220K50,2012.0,1.0,-0.03,0.01,53220K50,LIGAND PHARMACEUTICALS INC,Ligand Pharmaceuticals,high,transcripts_by_company/Ligand_Pharmaceuticals_2012Q1.txt,2012-01-11,2012-02-07,0.52,2012-02-07,high
62936P10,2006.0,1.0,-0.83,-1.03,62936P10,NPS PHARMACEUTICALS INCORPORATED,"NPS Pharmaceuticals, Inc.",high,transcripts_by_company/NPS_Pharmaceuticals_Inc_2006Q1.txt,2006-02-27,2006-02-16,-4.14,2006-02-16,high
30294110,2018.0,2.0,1.14,0.6,30294110,FTI CONSULTING INC,"FTI Consulting, Inc.",high,transcripts_by_company/FTI_Consulting_Inc_2018Q2.txt,2018-04-26,2018-04-26,1.04,2018-04-26,high
23337740,2011.0,4.0,0.61,0.49,23337740,DXP ENTERPRISES INC,"DXP Enterprises, Inc",high,transcripts_by_company/DXP_Enterprises_Inc_2011Q4.txt,2011-10-26,2011-10-26,0.55,2011-10-26,high
82704810,2006.0,3.0,1.19,1.23,82704810,SILGAN HOLDINGS INC,"Silgan Holdings, Inc.",high,transcripts_by_company/Silgan_Holdings_Inc_2006Q3.txt,2006-07-27,2006-07-27,0.53,2006-07-27,high
59479310,2002.0,3.0,-0.04,0.01,59479310,MICREL INC,Micrel Inc,high,transcripts_by_company/Micrel_Inc_2002Q3.txt,2002-07-24,2002-07-24,0.0,2002-07-24,high
00503U10,2002.0,3.0,-2.12,-0.15,00503U10,ACTERNA,Acterna,high,transcripts_by_company/Acterna_2002Q3.txt,2002-07-31,2002-07-31,-0.21,2002-07-31,high
25754A20,2013.0,4.0,0.78,0.74,25754A20,DOMINO'S PIZZA INC,"Domino's Pizza, Inc.",high,transcripts_by_company/Dominos_Pizza_Inc_2013Q4.txt,2013-10-15,2013-10-15,0.51,2013-10-15,high
83549510,2004.0,4.0,0.43,0.41,83549510,SONOCO PRODS,Sonoco,high,transcripts_by_company/Sonoco_2004Q4.txt,2004-10-20,2004-10-20,0.44,2004-10-20,high
