filepath,cusip,ticker,company_name,eps_actual,eps_forecast
/Users/vazea/Desktop/NNW/transcripts_by_company/L3HARRIS_TECHNOLOGIES_INC_2020Q2.txt,50243110,LHX,L3HARRIS TECHNOLOGIES INC,2.83,2.61
/Users/vazea/Desktop/NNW/transcripts_by_company/STRATASYS_INC_2008Q4.txt,86268510,SSYS,STRATASYS INC,0.76,0.78
/Users/vazea/Desktop/NNW/transcripts_by_company/VENTAS_INC_2011Q1.txt,92276F10,VTR,VENTAS INC,0.3,0.43
/Users/vazea/Desktop/NNW/transcripts_by_company/OLD_REPUBLIC_INTERNATIONAL_CORP_2021Q1.txt,68022310,ORI,OLD REPUBLIC INTERNATIONAL CORP,0.69,0.45
/Users/vazea/Desktop/NNW/transcripts_by_company/ATHERSYS_INC_2021Q3.txt,04744L10,ATHX,ATHERSYS INC,-0.07,-0.11
/Users/vazea/Desktop/NNW/transcripts_by_company/SALESFORCE_INC_2020Q1.txt,79466L30,CRM,SALESFORCE INC,0.93,0.61
/Users/vazea/Desktop/NNW/transcripts_by_company/POWERSECURE_INTERNATIONAL_INC_2011Q1.txt,73936N10,POWR,POWERSECURE INTERNATIONAL INC,-0.05,-0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/REGIONS_FINANCIAL_CORP_2019Q1.txt,7591EP10,RF,REGIONS FINANCIAL CORP,0.37,0.37
/Users/vazea/Desktop/NNW/transcripts_by_company/ATT_CORP_2004Q1.txt,00195750,T,AT&T CORP,0.25,0.33
/Users/vazea/Desktop/NNW/transcripts_by_company/PROTO_LABS_INC_2013Q1.txt,74371310,PRLB,PROTO LABS INC,0.35,0.31
/Users/vazea/Desktop/NNW/transcripts_by_company/ENTERGY_CORP_2010Q2.txt,29364G10,ETR,ENTERGY CORP,1.71,1.43
/Users/vazea/Desktop/NNW/transcripts_by_company/CYCLACEL_PHARMACEUTICALS_INC_2019Q1.txt,23254L40,CYCC,CYCLACEL PHARMACEUTICALS INC,-0.14,-0.21
/Users/vazea/Desktop/NNW/transcripts_by_company/INFINITY_PROPERTY_AND_CSLTY_CORP_2010Q3.txt,45665Q10,IPCC,INFINITY PROPERTY AND CSLTY CORP,1.76,1.04
/Users/vazea/Desktop/NNW/transcripts_by_company/PARKERVISION_INCORPORATED_2014Q4.txt,70135410,PRKR,PARKERVISION INCORPORATED,-0.24,-0.22
/Users/vazea/Desktop/NNW/transcripts_by_company/MONSTER_BEVERAGE_CORP_2016Q4.txt,61174X10,MNST,MONSTER BEVERAGE CORP,1.3,1.24
/Users/vazea/Desktop/NNW/transcripts_by_company/CIGNA_HOLDING_CO_2004Q4.txt,12550910,CI,CIGNA HOLDING CO,7.79,7.0
/Users/vazea/Desktop/NNW/transcripts_by_company/INTERTEL_INC_2002Q2.txt,45837210,INTL,INTER-TEL INC,0.27,0.25
/Users/vazea/Desktop/NNW/transcripts_by_company/QUALCOMM_INC_2006Q4.txt,74752510,QCOM,QUALCOMM INC,1.64,1.63
/Users/vazea/Desktop/NNW/transcripts_by_company/ACUITY_BRANDS_INC_2021Q3.txt,00508Y10,AYI,ACUITY BRANDS INC,2.77,2.26
/Users/vazea/Desktop/NNW/transcripts_by_company/WATERS_CORP_2014Q4.txt,94184810,WAT,WATERS CORP,5.48,5.39
/Users/vazea/Desktop/NNW/transcripts_by_company/DAKTRONICS_INC_2004Q1.txt,23426410,DAKT,DAKTRONICS INC,0.22,0.17
/Users/vazea/Desktop/NNW/transcripts_by_company/TRIQUINT_SEMICONDUCTOR_INC_2005Q3.txt,89674K10,TQNT,TRIQUINT SEMICONDUCTOR INC,0.01,-0.01
/Users/vazea/Desktop/NNW/transcripts_by_company/PARKERVISION_INCORPORATED_2016Q4.txt,70135430,PRKR,PARKERVISION INCORPORATED,-1.76,-1.44
/Users/vazea/Desktop/NNW/transcripts_by_company/ANNTAYLOR_STORES_CORP_2010Q2.txt,03611510,ANN,ANNTAYLOR STORES CORP,0.06,0.02
/Users/vazea/Desktop/NNW/transcripts_by_company/TEXAS_ROADHOUSE_INC_2010Q3.txt,88268110,TXRH,TEXAS ROADHOUSE INC,0.19,0.18
/Users/vazea/Desktop/NNW/transcripts_by_company/EFJOHNSON_TECHNOLOGIES_INC_2006Q1.txt,26843B10,EFJI,EFJOHNSON TECHNOLOGIES INC,-0.12,0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/OPKO_HEALTH_INC_2023Q3.txt,68375N10,OPK,OPKO HEALTH INC,-0.11,-0.09
/Users/vazea/Desktop/NNW/transcripts_by_company/IKANOS_COMMUNICATIONS_INC_2010Q3.txt,45173E10,IKAN,IKANOS COMMUNICATIONS INC,-0.1,-0.02
/Users/vazea/Desktop/NNW/transcripts_by_company/AMTRUST_FINANCIAL_SERVICES_INC_2013Q4.txt,03235930,AFSI,AMTRUST FINANCIAL SERVICES INC,3.39,3.12
/Users/vazea/Desktop/NNW/transcripts_by_company/POZEN_INC_2007Q4.txt,73941U10,POZN,POZEN INC,0.15,0.13
/Users/vazea/Desktop/NNW/transcripts_by_company/WHERE_FOOD_COMES_FROM_INC_2022Q3.txt,96327X20,WFCF,WHERE FOOD COMES FROM INC,0.13,0.16
/Users/vazea/Desktop/NNW/transcripts_by_company/ARCHERDANIELSMIDLAND_CO_2015Q4.txt,03948310,ADM,ARCHER-DANIELS-MIDLAND CO,2.6,2.68
