ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
KVH INDUSTRIES INC,2.0,0.1,0.17,transcripts_by_company/KVH_Industries_Inc_2007Q2.txt,0.1051439419388771,0.8948560580611229
HARVARD BIOSCIENCE INC,2.0,0.06,0.06,transcripts_by_company/Harvard_Bioscience_Inc_2021Q2.txt,0.26674485206604004,0.73325514793396
ESTERLINE CORP,2.0,0.84,0.78,transcripts_by_company/Esterline_Technologies_Corporation_2008Q2.txt,0.08297235518693924,0.9170276448130608
ENDO PHARMACEUTICALS,1.0,1.09,1.29,transcripts_by_company/Endo_Pharmaceuticals_Holdings_Inc_2013Q1.txt,0.17355455458164215,0.8264454454183578
WET SEAL INC,4.0,0.04,0.05,transcripts_by_company/The_Wet_Seal_Inc_2010Q4.txt,0.27643483877182007,0.7235651612281799
COINSTAR INC,2.0,0.15,0.3,transcripts_by_company/Coinstar_2006Q2.txt,0.17439928650856018,0.8256007134914398
MERITAGE CORPORATION,1.0,-1.72,-0.36,transcripts_by_company/Meritage_Homes_Corporation_2008Q1.txt,0.14024005830287933,0.8597599416971207
LPL INVESTMENT HOLDINGS INC,3.0,0.46,0.43,transcripts_by_company/Marfin_Investment_Group_Holdings_SA_2011Q3.txt,0.08728571236133575,0.9127142876386642
SOLERA HOLDINGS INC,3.0,0.62,0.82,transcripts_by_company/Solera_Holdings_Inc_2015Q3.txt,0.2608429193496704,0.7391570806503296
AUDIOCODES LTD,2.0,0.37,0.34,transcripts_by_company/AudioCodes_Ltd_2021Q2.txt,0.11542168259620667,0.8845783174037933
OLIN CORP,4.0,1.49,2.24,transcripts_by_company/Olin_Corporation_2022Q4.txt,0.34767845273017883,0.6523215472698212
BODY CENTRAL CORP,1.0,0.36,0.41,transcripts_by_company/Body_Central_Corp_2012Q1.txt,0.12854166328907013,0.8714583367109299
NANOMETRICS INC,1.0,0.12,0.39,transcripts_by_company/Nanometrics_2012Q1.txt,0.20131857693195343,0.7986814230680466
UNDER ARMOUR INC,3.0,0.51,0.67,transcripts_by_company/Under_Armour_Inc_2008Q3.txt,0.14492975175380707,0.8550702482461929
FIRST HORIZON CORP,2.0,-0.58,-0.06,transcripts_by_company/First_Horizon_National_Corporation_2009Q2.txt,0.16672039031982422,0.8332796096801758
ATLANTIC POWER CORP,3.0,0.21,-0.03,transcripts_by_company/Atlantic_Power_Corporation_2017Q3.txt,0.3209250867366791,0.6790749132633209
CONCERT PHARMACEUTICALS INC,3.0,-0.6,-0.91,transcripts_by_company/Concert_Pharmaceuticals_Inc_2020Q3.txt,0.19601649045944214,0.8039835095405579
SINA CORP,3.0,0.42,0.25,transcripts_by_company/Sina_Corporation_2013Q3.txt,0.16234815120697021,0.8376518487930298
PHARMATHENE INC,4.0,-0.17,-0.26,transcripts_by_company/Pharmathene_2008Q4.txt,0.24626238644123077,0.7537376135587692
AVALONBAY COMMUNITIES INC,1.0,1.05,1.15,transcripts_by_company/AvalonBay_Communities_Inc_2023Q1.txt,0.17980174720287323,0.8201982527971268
SENSIENT TECHNOLOGIES CORP,1.0,0.89,0.93,transcripts_by_company/Sensient_Technologies_Corporation_2018Q1.txt,0.20058847963809967,0.7994115203619003
ENCOMPASS HEALTH CORP,1.0,1.04,0.93,transcripts_by_company/Encompass_Health_Corporation_2019Q1.txt,0.20875340700149536,0.7912465929985046
CELLEBRITE DI LTD,2.0,0.0,0.03,transcripts_by_company/Cellebrite_DI_Ltd_2022Q2.txt,0.10430318862199783,0.8956968113780022
CULP INC,1.0,0.18,0.29,transcripts_by_company/Culp_Inc_2011Q1.txt,0.1487073302268982,0.8512926697731018
BECTON DICKINSON AND CO,3.0,1.39,1.46,transcripts_by_company/Becton_Dickinson_and_Company_2011Q3.txt,0.19517111778259277,0.8048288822174072
GRAFTECH INTERNATIONAL LTD,2.0,0.11,0.19,transcripts_by_company/GrafTech_International_Ltd_2005Q2.txt,0.22195090353488922,0.7780490964651108
MR COOPER GROUP INC,4.0,1.03,0.42,transcripts_by_company/Mr_Cooper_Group_Inc_2019Q4.txt,0.17528940737247467,0.8247105926275253
FOOT LOCKER INC,3.0,0.29,0.31,transcripts_by_company/Foot_Locker_Inc_2004Q3.txt,0.3116346001625061,0.6883653998374939
AMNEAL PHARMACEUTICALS INC,4.0,0.08,0.22,transcripts_by_company/Amneal_Pharmaceuticals_Inc_2019Q4.txt,0.19732780754566193,0.8026721924543381
