eps_name,quarter,actual_eps,forecast_eps,filepath
TTGT,2007Q3,0.07,0.07,/Users/vazea/Desktop/NNW/transcripts_by_company/TECHTARGET_INC_2007Q3.txt
CLW,2021Q3,0.55,0.45,/Users/vazea/Desktop/NNW/transcripts_by_company/CLEARWATER_PAPER_CORP_2021Q3.txt
OVTI,2004Q4,0.34,0.91,/Users/vazea/Desktop/NNW/transcripts_by_company/OMNIVISION_TECHNOLOGIES_INC_2004Q4.txt
PFMT,2020Q3,0.06,0.0,/Users/vazea/Desktop/NNW/transcripts_by_company/PERFORMANT_HEALTHCARE_INC_2020Q3.txt
ISRG,2003Q2,0.05,-0.01,/Users/vazea/Desktop/NNW/transcripts_by_company/INTUITVE_SURGICAL_INC_2003Q2.txt
TNC,2009Q2,0.16,0.05,/Users/vazea/Desktop/NNW/transcripts_by_company/TENNANT_CO_2009Q2.txt
WIN,2008Q1,0.27,0.25,/Users/vazea/Desktop/NNW/transcripts_by_company/WINDSTREAM_CORP_2008Q1.txt
TWKS,2022Q3,0.08,0.11,/Users/vazea/Desktop/NNW/transcripts_by_company/THOUGHTWORKS_HOLDING_INC_2022Q3.txt
EVER,2014Q4,0.28,1.13,/Users/vazea/Desktop/NNW/transcripts_by_company/EVERBANK_FINANCIAL_CORP_2014Q4.txt
BP,2018Q2,0.85,0.8,/Users/vazea/Desktop/NNW/transcripts_by_company/BP_PLC_2018Q2_1.txt
AMPH,2019Q1,0.1,0.06,/Users/vazea/Desktop/NNW/transcripts_by_company/AMPHASTAR_PHARMACEUTICALS_INC_2019Q1.txt
VSAT,2021Q4,0.12,0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/VIASAT_INC_2021Q4.txt
CAMP,2011Q3,-0.01,0.01,/Users/vazea/Desktop/NNW/transcripts_by_company/CALAMP_CORP_2011Q3.txt
DARE,2022Q1,-0.1,-0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/DARE_BIOSCIENCE_INC_2022Q1.txt
AMWD,2004Q4,1.0,3.83,/Users/vazea/Desktop/NNW/transcripts_by_company/AMERICAN_WOODMARK_CORP_2004Q4.txt
WYNN,2017Q1,1.24,0.79,/Users/vazea/Desktop/NNW/transcripts_by_company/WYNN_RESORTS_LTD_2017Q1.txt
EBIX,2015Q2,0.55,0.48,/Users/vazea/Desktop/NNW/transcripts_by_company/EBIX_INC_2015Q2.txt
HE,2022Q3,0.57,0.56,/Users/vazea/Desktop/NNW/transcripts_by_company/HAWAIIAN_ELECTRIC_INDUSTRIES_INC_2022Q3.txt
JAZZ,2020Q2,3.71,3.51,/Users/vazea/Desktop/NNW/transcripts_by_company/JAZZ_PHARMACEUTICALS_PLC_2020Q2.txt
QSI,2023Q1,-0.17,-0.19,/Users/vazea/Desktop/NNW/transcripts_by_company/QUANTUMSI_INC_2023Q1.txt
ICUI,2009Q2,0.38,0.35,/Users/vazea/Desktop/NNW/transcripts_by_company/ICU_MEDICAL_INC_2009Q2.txt
CSLT,2016Q4,-0.01,-0.34,/Users/vazea/Desktop/NNW/transcripts_by_company/CASTLIGHT_HEALTH_INC_2016Q4.txt
WNS,2010Q1,0.29,0.27,/Users/vazea/Desktop/NNW/transcripts_by_company/WNS_HOLDINGS_LTD_2010Q1.txt
FIG,2008Q4,-0.43,0.17,/Users/vazea/Desktop/NNW/transcripts_by_company/FORTRESS_INVESTMENT_GROUP_LLC_2008Q4.txt
KVHI,2015Q3,0.12,0.13,/Users/vazea/Desktop/NNW/transcripts_by_company/KVH_INDUSTRIES_INC_2015Q3.txt
SBH,2007Q1,0.09,0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/SALLY_BEAUTY_HOLDINGS_INC_2007Q1.txt
MBUU,2020Q4,0.4,3.0,/Users/vazea/Desktop/NNW/transcripts_by_company/MALIBU_BOATS_INC_2020Q4.txt
GLW,2008Q1,0.44,0.41,/Users/vazea/Desktop/NNW/transcripts_by_company/CORNING_INC_2008Q1.txt
EPIQ,2015Q3,0.24,0.23,/Users/vazea/Desktop/NNW/transcripts_by_company/EPIQ_SYSTEMS_INC_2015Q3.txt
SRT,2021Q4,0.25,-0.05,/Users/vazea/Desktop/NNW/transcripts_by_company/STARTEK_INC_2021Q4.txt
TIVO,2018Q4,0.24,1.08,/Users/vazea/Desktop/NNW/transcripts_by_company/TIVO_CORP_2018Q4.txt
COE,2020Q1,2.26,0.42,/Users/vazea/Desktop/NNW/transcripts_by_company/CHINA_ONLINE_EDUCATION_GROUP_2020Q1.txt
IHG,2016Q4,,1.93,/Users/vazea/Desktop/NNW/transcripts_by_company/INTERCONTINENTAL_HOTELS_GROUP_PL_2016Q4.txt
SALM,2007Q4,0.05,0.39,/Users/vazea/Desktop/NNW/transcripts_by_company/SALEM_MEDIA_GROUP_INC_2007Q4.txt
LECO,2023Q3,2.4,2.28,/Users/vazea/Desktop/NNW/transcripts_by_company/LINCOLN_ELECTRIC_HOLDINGS_INC_2023Q3.txt
GSL,2023Q2,2.09,2.12,/Users/vazea/Desktop/NNW/transcripts_by_company/GLOBAL_SHIP_LEASE_INC_2023Q2.txt
IBAS,2008Q3,0.05,0.08,/Users/vazea/Desktop/NNW/transcripts_by_company/IBASIS_INC_2008Q3.txt
AMD,2021Q3,0.73,0.67,/Users/vazea/Desktop/NNW/transcripts_by_company/ADVANCED_MICRO_DEVICES_INC_2021Q3.txt
JNPR,2016Q3,0.58,0.52,/Users/vazea/Desktop/NNW/transcripts_by_company/JUNIPER_NETWORKS_INC_2016Q3.txt
AMZN,2012Q1,0.28,0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/AMAZONCOM_INC_2012Q1.txt
EQM,2016Q2,1.27,1.15,/Users/vazea/Desktop/NNW/transcripts_by_company/EQM_MIDSTREAM_PARTNERS_LP_2016Q2.txt
SANM,2017Q1,0.75,0.67,/Users/vazea/Desktop/NNW/transcripts_by_company/SANMINA_CORP_2017Q1.txt
GPX,2007Q2,0.14,0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/GP_STRATEGIES_CORP_2007Q2.txt
REYN,2020Q1,0.3,0.23,/Users/vazea/Desktop/NNW/transcripts_by_company/REYNOLDS_CONSUMER_PRODUCTS_INC_2020Q1.txt
FHN,2020Q3,0.35,0.22,/Users/vazea/Desktop/NNW/transcripts_by_company/FIRST_HORIZON_CORP_2020Q3.txt
SIG,2018Q3,-0.1,0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/SIGNET_JEWELERS_LTD_2018Q3.txt
NVST,2020Q2,-0.1,-0.19,/Users/vazea/Desktop/NNW/transcripts_by_company/ENVISTA_HOLDINGS_CORP_2020Q2.txt
BWA,2011Q3,1.15,1.04,/Users/vazea/Desktop/NNW/transcripts_by_company/BORGWARNER_INC_2011Q3.txt
XEL,2016Q1,0.47,0.5,/Users/vazea/Desktop/NNW/transcripts_by_company/XCEL_ENERGY_INC_2016Q1.txt
DSW,2015Q2,0.37,0.33,/Users/vazea/Desktop/NNW/transcripts_by_company/DSW_INC_2015Q2.txt
WYY,2019Q2,0.0,0.0,/Users/vazea/Desktop/NNW/transcripts_by_company/WIDEPOINT_CORP_2019Q2.txt
ALG,2021Q4,1.62,6.64,/Users/vazea/Desktop/NNW/transcripts_by_company/ALAMO_GROUP_INC_2021Q4.txt
BA,2006Q2,-0.21,0.8,/Users/vazea/Desktop/NNW/transcripts_by_company/BOEING_CO_2006Q2.txt
PENX,2011Q3,-0.01,0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/PENFORD_CORPORATION_2011Q3.txt
MIGI,2022Q4,-1.39,-0.26,/Users/vazea/Desktop/NNW/transcripts_by_company/MAWSON_INFRASTRUCTURE_GROUP_INC_2022Q4.txt
SYN,2020Q3,-0.14,-0.17,/Users/vazea/Desktop/NNW/transcripts_by_company/SYNTHETIC_BIOLOGICS_INC_2020Q3.txt
TMK,2002Q2,0.87,0.87,/Users/vazea/Desktop/NNW/transcripts_by_company/TORCHMARK_CORP_2002Q2.txt
